Title,Company,Technologies,Job,Location,Salary
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data analyst,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.
Senior Data Engineer,ITP IT PERFORMANCE sp. z o.o.,"Python, Snowflake, DBT, GitLab, SQL, Git, AWS, Airflow, AutoMateNow",data analyst,"Warszawa, Śródmieście",125–155 zł netto (+ VAT) / godz.
Senior Data Engineer (Azure / Databricks),GETINDATA POLAND sp. z o.o.,"Python, Scala, Java, Databricks, Kafka, Git, Microsoft Azure, Docker, Terraform, Azure DevOps",data analyst,"Warszawa, Mokotów",160–200 zł netto (+ VAT) / godz.
"Senior Fullstack (Angular, Node) / BI Platform Developer",BYTAMIC SOLUTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Angular, TypeScript, Node.js",data analyst,"Poznań, Stare Miasto",18 000–21 300 zł netto (+ VAT) / mies.
Data Engineer with Quantexa Expertise,B2B.NET S.A.,"Quantexa, Spark, Scala, Unix Shell",data analyst,2 lokalizacje,
Senior Data Engineer,StoneX Financial LTD Sp. z o.o. Oddział w Polsce,"C#, Java",data analyst,"Kraków, Grzegórzki",
Senior Data Engineer,CRESTT sp. z o.o.,"SQL, T-SQL, Git, Microsoft Azure, Azure, Google Cloud Platform",data analyst,Warszawa,17 000–24 864 zł / mies. (zal. od umowy)
Data Engineer,Novaris Sp. z o.o.,"Python, Microsoft Azure, Azure Data Factory, Azure Databricks, Spark, Spark SQL, Azure DevOps",data analyst,Warszawa,21 000–28 000 zł netto (+ VAT) / mies.
Data Scientist,SQUARE ONE RESOURCES sp. z o.o.,"Python, SQL, PySpark, Azure Cloud, Databricks",data analyst,"Warszawa, Mokotów",100–130 zł netto (+ VAT) / godz.
Senior Data Scientist,KUBO,"Python, LLM, PyTorch / TensorFlow / Keras",data analyst,Gdańsk,100–130 zł netto (+ VAT) / godz.
Data Scientist,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, SQL",data analyst,Wrocław,156 zł / godz. (zal. od umowy)
Analityk Biznesowo-Systemowy,Prime Engineering Poland,"UML, BPMN, Enterprise Architect",data analyst,Poznań,
Data Analyst - Data Architect,CadEx Digital s.r.o.,"SQL, Sybase, Sybase Power Designer, 3NF",data analyst,"Bratislava, Słowacja",15 100–19 500 zł brutto / mies.
Senior Data Scientist,Adform Sp. z o.o.,"Python, SQL, git, Docker, C#, Java, C, C++, Scala",data analyst,"Warszawa, Śródmieście",22 400–33 600 zł netto (+ VAT) / mies.
Data Engineer,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,data analyst,Wrocław,
Analityk biznesowy - Programista BPML,QUERCUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BPML, IBM BPM, Pega, Camunda, Java, Python",data analyst,"Łódź, Śródmieście",
Analityk Biznesowy,Autopay,"SQL, Jira, Figma",data analyst,"Sopot, Dolny Sopot",
System - Business Analyst,Scalo Sp. z o.o.,"SQL, Kafka",data analyst,Katowice,140 zł netto (+ VAT) / godz.
BI Manager / Tech Lead - Zespół Data Intelligence Solution,KPMG,"Microsoft Power BI, Microsoft Azure, MS Fabric, SQL, Synapse, Databricks, Data Lake, Data Factory, Logic Apps, Azure DevOps",data analyst,7 lokalizacji,
Business Analyst,CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,data analyst,"Warszawa, Śródmieście",150 zł netto (+ VAT) / godz.
Data Engineer,PUMANTA sp. z o.o.,"Informatica, PowerCenter, SQL, PL/SQL, Oracle",data analyst,"Warszawa, Ochota",
IT Business Analyst,WONDER MILES Sp. z o.o.,"UML, BPMN",data analyst,2 lokalizacje,
Business Analyst,NEONTRI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,"BPMN, UML",data analyst,Warszawa,110–140 zł netto (+ VAT) / godz.
Advanced Data Scientist,Analyx Sp. z o.o. sp.k.,"R, Microsoft Excel",data analyst,"Poznań, Stare Miasto",
Business Analyst (work in the US time zone),Micro Solutions Sp. z o.o.,"Jira, Office 365 suite",data analyst,"Wrocław, Fabryczna",
Analityk biznesowo-systemowy,ITHOUSE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"BPMN, UML, Enterprise Architect, Miro, Jira",data analyst,"Warszawa, Śródmieście",
Data Engineer,SAMBA TV POLAND sp. z o.o.,"Python, Apache Spark, Airflow, Pyspark, Databricks, AWS",data analyst,Warszawa,
Data Quality Analyst,ODYSSEY LOGISTICS SP Z O O,SQL,data analyst,"Gdańsk, Oliwa",10 000–18 500 zł / mies. (zal. od umowy)
Data Analyst,Infor (Polska) Sp. z o.o.,"SQL, MS Excel",data analyst,"Wrocław, Stare Miasto",
Analityk Biznesowo - Systemowy,LINCOR Software sp. z o.o. sp. k.,"Microsoft Excel, SQL",data analyst,"Warszawa, Ursynów",16 000–20 000 zł / mies. (zal. od umowy)
Analityk Biznesowo - Systemowy,CRESTT sp. z o.o.,"UML, BPMN, Enterprise Architect, Jira, Rest, SoapUI, XML, Json",data analyst,Warszawa,105–120 zł netto (+ VAT) / godz.
System - Business Analyst,Scalo Sp. z o.o.,"Jira, Confluence, SQL",data analyst,Warszawa,150 zł netto (+ VAT) / godz.
Power BI Developer,Kingfisher,Microsoft Power BI,data analyst,"Kraków, Podgórze",
IT Business Analyst,Droids On Roids SA,"Jira, Confluence",data analyst,"Wrocław, Stare Miasto",7 500–14 500 zł / mies. (zal. od umowy)
Data Engineer,PwC,"Python, SQL",data analyst,5 lokalizacji,
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data engineer,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.
Senior Data Engineer,ITP IT PERFORMANCE sp. z o.o.,"Python, Snowflake, DBT, GitLab, SQL, Git, AWS, Airflow, AutoMateNow",data engineer,"Warszawa, Śródmieście",125–155 zł netto (+ VAT) / godz.
Senior Data Engineer (Azure / Databricks),GETINDATA POLAND sp. z o.o.,"Python, Scala, Java, Databricks, Kafka, Git, Microsoft Azure, Docker, Terraform, Azure DevOps",data engineer,"Warszawa, Mokotów",160–200 zł netto (+ VAT) / godz.
Data Engineer with Quantexa Expertise,B2B.NET S.A.,"Quantexa, Spark, Scala, Unix Shell",data engineer,2 lokalizacje,
Senior Data Engineer,StoneX Financial LTD Sp. z o.o. Oddział w Polsce,"C#, Java",data engineer,"Kraków, Grzegórzki",
Senior Data Engineer,CRESTT sp. z o.o.,"SQL, T-SQL, Git, Microsoft Azure, Azure, Google Cloud Platform",data engineer,Warszawa,17 000–24 864 zł / mies. (zal. od umowy)
Data Engineer,CadEx Digital s.r.o.,"SQL, PostgreSQL, Cassandra, Python, Java, Spark, Hadoop, Kafka, HDFS, NoSQL, Jira",data engineer,"Bratislava, Słowacja",15 160–19 490 zł brutto / mies.
Data Engineer,PUMANTA sp. z o.o.,"Informatica, PowerCenter, SQL, PL/SQL, Oracle",data engineer,"Warszawa, Ochota",
Data Engineer z Snowflake,ITP IT PERFORMANCE sp. z o.o.,"Snowflake, SQL, Python, GitLab",data engineer,"Warszawa, Śródmieście",120–145 zł netto (+ VAT) / godz.
Data Engineer,Clouds On Mars sp. z o.o,,data engineer,"Warszawa, Mokotów",
Data Engineer,SAMBA TV POLAND sp. z o.o.,"Python, Apache Spark, Airflow, Pyspark, Databricks, AWS",data engineer,Warszawa,
Senior Data Engineer,ITligent Group Sp. z o.o.,"Azure Data Factory, Snowflake Data Cloud, Spark, GCP Data Flow, Apache Spark, Hadoop, SQL, Azure Databricks",data engineer,"Warszawa, Żoliborz",20 000–30 000 zł netto (+ VAT) / mies.
Data Engineer (AWS & Python),CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, AWS",data engineer,"Warszawa, Śródmieście",180 zł netto (+ VAT) / godz.
Senior Cloud Data Engineer,Team Connect Sp. z o.o.,"SQL, NoSQL, Python, DataBricks, Snowflake, Microsoft Azure, PySpark",data engineer,Warszawa,25 600–28 800 zł netto (+ VAT) / mies.
DATA Engineer,Loyalty Partner Polska Sp. z o.o. (PAYBACK),"Git, Python, Airflow, SQL, NoSQL, Spark, MapR, Google Cloud Services, BigQuery, Cloud Build, Cloud Storage, Pub/Sub, Cloud Composer, DataFlow",data engineer,"Warszawa, Wola",
"Data Engineer (Python, AWS)",Scalo Sp. z o.o.,"SQL, Python, AWS, Kubernetes, Docker",data engineer,Wrocław,140 zł netto (+ VAT) / godz.
Data Engineer,ITDS Polska Sp. z o.o.,"Google Cloud Platform, SQL, T-SQL, Ansible, Jenkins, GitHub, Puppet, Chef",data engineer,Kraków,23 100–27 300 zł / mies. (zal. od umowy)
Data Scientist (NLP Deep Learning Engineer),Revolut LTD,"Python, SQL",data engineer,Kraków,
Data Engineer,KITOPI POLAND sp. z o.o.,"Snowflake, Python, SQL, DBT",data engineer,"Kraków, Dębniki",13 000–24 000 zł / mies. (zal. od umowy)
Senior Data Engineer,DataRiseLab Sp. z o.o.,"Azure Data Factory, Azure SQL, Synapse Analytics, DataBricks",data engineer,"Wrocław, Krzyki",20 000–30 000 zł netto (+ VAT) / mies.
Big Data Engineer,EndySoft,"Apache Spark, Hadoop, Kafka, Flink, Python, Scala, Java, SQL, PostgreSQL, MongoDB, Cassandra, AWS, Microsoft Azure, Google Cloud Platform, Apache Airflow, Docker, Kubernetes",data engineer,Warszawa,17 400–20 900 zł netto (+ VAT) / mies.
Senior Data Engineer (Azure),Scalo Sp. z o.o.,SQL,data engineer,Wrocław,25 200 zł netto (+ VAT) / mies.
Senior Data Engineer (DataBricks + SQL + Python),Scalo Sp. z o.o.,"SQL, Python",data engineer,Wrocław,25 200 zł netto (+ VAT) / mies.
Senior Data Engineer (DataBricks + SQL + Python),Scalo Sp. z o.o.,"SQL, Python",data engineer,Wrocław,150 zł netto (+ VAT) / godz.
Data Engineer / Snowflake Developer,ITDS Polska Sp. z o.o.,"SQL, Python, Snowflake Data Cloud",data scientist,Warszawa,23 000–31 500 zł netto (+ VAT) / mies.
Senior Data Engineer,ITP IT PERFORMANCE sp. z o.o.,"Python, Snowflake, DBT, GitLab, SQL, Git, AWS, Airflow, AutoMateNow",data scientist,"Warszawa, Śródmieście",125–155 zł netto (+ VAT) / godz.
Senior Data Engineer (Azure / Databricks),GETINDATA POLAND sp. z o.o.,"Python, Scala, Java, Databricks, Kafka, Git, Microsoft Azure, Docker, Terraform, Azure DevOps",data scientist,"Warszawa, Mokotów",160–200 zł netto (+ VAT) / godz.
Machine Learning Engineer,ZOOLA TECH POLAND sp. z o.o.,"Python, PyTorch",data scientist,"Wrocław, Fabryczna",
Data Engineer with Quantexa Expertise,B2B.NET S.A.,"Quantexa, Spark, Scala, Unix Shell",data scientist,2 lokalizacje,
Senior Data Engineer,StoneX Financial LTD Sp. z o.o. Oddział w Polsce,"C#, Java",data scientist,"Kraków, Grzegórzki",
Senior Data Engineer,CRESTT sp. z o.o.,"SQL, T-SQL, Git, Microsoft Azure, Azure, Google Cloud Platform",data scientist,Warszawa,17 000–24 864 zł / mies. (zal. od umowy)
Data Scientist,SQUARE ONE RESOURCES sp. z o.o.,"Python, SQL, PySpark, Azure Cloud, Databricks",data scientist,"Warszawa, Mokotów",100–130 zł netto (+ VAT) / godz.
Senior Data Scientist,KUBO,"Python, LLM, PyTorch / TensorFlow / Keras",data scientist,Gdańsk,100–130 zł netto (+ VAT) / godz.
Data Scientist,UPVANTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, SQL",data scientist,Wrocław,156 zł / godz. (zal. od umowy)
Data Analyst - Data Architect,CadEx Digital s.r.o.,"SQL, Sybase, Sybase Power Designer, 3NF",data scientist,"Bratislava, Słowacja",15 100–19 500 zł brutto / mies.
Senior Data Scientist,Adform Sp. z o.o.,"Python, SQL, git, Docker, C#, Java, C, C++, Scala",data scientist,"Warszawa, Śródmieście",22 400–33 600 zł netto (+ VAT) / mies.
Data Engineer,STX Next S.A.,"PostgreSQL, Python, Azure SQL, ETL, SQL, NoSQL, Snowflake Data Cloud, Apache Flink, Git, Docker",data scientist,Poznań,16 128–26 880 zł netto (+ VAT) / mies.
Data Scientist,EndySoft,"Python, R, TensorFlow, PyTorch, Microsoft Power BI, Tableau, Matplotlib, Spark, Hadoop, Databricks",data scientist,Warszawa,14 000–17 500 zł netto (+ VAT) / mies.
Data Analyst / Scientist,SQUARE ONE RESOURCES sp. z o.o.,"Python, NumPy, Pandas, Matplotlib, SimPy, AnyLogic, Blockchain, Machine Learning",data scientist,"Warszawa, Mokotów",
Data Engineer,Clouds On Mars sp. z o.o,,data scientist,"Warszawa, Mokotów",
Advanced Data Scientist,Analyx Sp. z o.o. sp.k.,"R, Microsoft Excel",data scientist,"Poznań, Stare Miasto",
Data Engineer,SAMBA TV POLAND sp. z o.o.,"Python, Apache Spark, Airflow, Pyspark, Databricks, AWS",data scientist,Warszawa,
Senior Data Engineer,ITligent Group Sp. z o.o.,"Azure Data Factory, Snowflake Data Cloud, Spark, GCP Data Flow, Apache Spark, Hadoop, SQL, Azure Databricks",data scientist,"Warszawa, Żoliborz",20 000–30 000 zł netto (+ VAT) / mies.
Data Engineer (AWS & Python),CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"Python, AWS",data scientist,"Warszawa, Śródmieście",180 zł netto (+ VAT) / godz.
Senior Cloud Data Engineer,Team Connect Sp. z o.o.,"SQL, NoSQL, Python, DataBricks, Snowflake, Microsoft Azure, PySpark",data scientist,Warszawa,25 600–28 800 zł netto (+ VAT) / mies.
Junior Data Engineer,PUMANTA sp. z o.o.,"SQL, Snowflake Data Cloud, Oracle, Python",data scientist,"Warszawa, Ochota",
Data Analyst (Engineer),Revolut LTD,"Python, SQL",data scientist,Kraków,
Data Analyst,EndySoft,"SQL, Microsoft Power BI, Tableau, Looker, Python, R",data scientist,Warszawa,14 000–17 500 zł netto (+ VAT) / mies.
Senior Data Analyst,Intercorp Global,"SQL, Microsoft Excel",data scientist,10 lokalizacji,16 000–24 000 zł netto (+ VAT) / mies.
Data Analyst,"""TECHNICUS LTD"" sp. z o.o. ODDZIAŁ W POLSCE",SQL,data scientist,"Warszawa, Śródmieście",
Data Analyst (Anaplan),7N Sp. z o.o.,"SQL, Microsoft Excel",data scientist,Warszawa,21 840–28 560 zł netto (+ VAT) / mies.
Senior Data Scientist,Revolut LTD,"Python, SQL",data scientist,Kraków,
Product Owner (Data Science),Revolut LTD,"Python, SQL, TensorFlow, Keras, PyTorch",data scientist,Kraków,
Machine Learning Engineer in Samsung Ads Project,Samsung R&D Institute Poland,"TensorFlow, PyTorch, Spark, Python, AWS, Snowpark, Github Actions, Grafana",data scientist,"Warszawa, Wola",
Data Scientist (NLP Deep Learning Engineer),Revolut LTD,"Python, SQL",data scientist,Kraków,
Data Engineer,KITOPI POLAND sp. z o.o.,"Snowflake, Python, SQL, DBT",data scientist,"Kraków, Dębniki",13 000–24 000 zł / mies. (zal. od umowy)
Data Scientist,BitPeak Sp. z o.o.,"Keras, TensorFlow, Theano, PyTorch, Python, JIRA, Confluence",data scientist,"Warszawa, Bielany",
Manager MS AI Copilot - Data Science & AI,KPMG,MS AI Copilot,data scientist,16 lokalizacji,
Manager AI/GenAI - Data Science & AI,KPMG,GenAI,data scientist,16 lokalizacji,
